builder,builder_pubkey,14d_total,total
Bob the builder,0x805e28e6987ffb45348388f5931781760d5bffac784f97050e7684ee3e1970fc8b8a1a3b0d7b6a961019900dcb3f80f9,78,4775
Bob the builder,0x80ad903b80e6e662eb5e039afa278ebbcba6867e987795d634fa1fcc393385bd311d184bc2266ad1f6a5260c99a527dc,83,1435
bananabuild.org 🍌,0x81b0f46eace480564b43f3a3fb2b67fbda0a803bf662545661b61e3c885183cedf3cd110b9d61556e463794229bbedb5,4,130
✨ Quasar (quasar.win) ✨,0x823e0146b1a5bfc5d4391f7f4391b4f170693369a2350c676238fb1bef4b2dc99bb99307f77e084920cdc7721c80b8df,9268,151059
lynx-minimal-test,0x825ee18ed867af8426b73567c026ddaf9a0a464609704919b55833e720b90ec27ee7bb6417b939d54a5185ae01759c4e,2,30
builder.ultrasound.money,0x8330662d8e0ae9a2f3e6d4e7067ab2bd7d383d5b1e3915c35a7c5a72e7becc00cb0c217b8c8a1465e3bb8ba09c9528a7,157,420
Bob the builder,0x83cae7e59666cc4aaf3e77e59fb38c493328745e3af3011ac6dba48e5a4f6b0307a4e67ed7f92f299d36901ea736ff90,25,704
BuilderNet,0x850b00e055388c1b56f137e0852bc02d8b05534e9f96dd1d11cff8cf0481b800ecc2e708cdc158cd95b7cfdaa6840ee7,3969,201720
Titan Builder,0x8527d16cf01edcea2cbb05e27f5f61b184578ea27c4015e4533e4cebd6d53297bd004c14fe3f247a468361bf781e0069,12322,337602
BuilderNet,0x853b0078c722ade5dd089dd9ce2eea3890dcc825213231600b3023ab92aa3e835c5325f31515b82a9a0559c881a14cde,7613,153892
BuilderNet,0x857b00388fc623b52cec21b5dde4f0e543dd824db41d30480bbd6d1885f9c69833745a0396573aa1013ecacda3c118d7,2118,26505
bombora.build 🌊,0x85ae6f0c25c6c6566b3fdbe801de2d8eafc6d930a837a671e423fb1363485cb30c8e355db889f5a3a42f3a04ea2eb6e2,683,1149
Eureka (eurekabuilder.xyz),0x860d4173f53be0fe5aa523bf77156ea41aad8a3b3f06e0f2ced30b64c1ba84971b0b42516d5fab95cee5888e94cce153,1650,16703
ethgas-realtime-rpc,0x86f3ad359674f58ca09fbb9254d7a65251184b7326b948b6d8057a6d8d062b053e87cca4a74b75603aaac521048174f1,79,942
Bob the builder,0x8789ce8c8ce3244f9e2d47fa4923381c8ca9c1be984be16b698feb17b456caf29fc68693704ba165b4c78d1f075fe27d,103,1044
Titan Builder,0x87d7fb5c1b6e76550d8960b48a12505bc7b6478723db006fb659761ccde41500d951ef1457874ab1875f5f869f761b6b,3,19
✨ Quasar (quasar.win) ✨,0x88510a78794b69e07f73b2f3ee309f78fc372dcb2ed85d5f80bbe7ebc579778f2a7d6aafbb8b00c00cb7241e1c800d65,1889,89517
Eureka (eurekabuilder.xyz),0x885c17ef9c0cd97188a39eb6c2b5368c5484e2a7e04401e214bfcc1c96e0d180d76943c00827d9492edeaafe0b62414e,1700,14859
Titan Builder,0x88857150299287cedfbadea1ee3fb7ac121f1e4e16bef44b4a7bad35432973c4009efb90394facca3fdc0759ba70f93f,13588,211412
Titan Builder,0x88a53ec4422f50238def5696446e06acd076f94d73c76e51449cf82eb5312dcb8a845a6c3199ce35de3f2b0441deb76b,6986,150549
bombora.build 🌊,0x8973c5b9a347266654e6b12882885cb76f963549c37907ce95ee3b206255a273afccc4263ed6b2ecf0f6fc8938d3f5d2,406,429
Bob the builder,0x8a2a43611c0bda31ab5653dfc53f474b475c95ff0b7166ffb5956dc25121b61a6fc4fe5ba63e00b49e43f6fecc8fbea2,12,871
Bob the builder,0x8a2d9d9a99521dac1189c30366347a17a17ef77369810d83f8b5f0c224517849219f03f13afd9e85bcbf675d0653dbf5,13,1004
Titan Builder,0x8a85062118e29045e8b199723d9af519b0c071d9e7586fa89733e798536d4637f8545a169012cc1b76005d9453603273,4602,130857
BloXroute,0x8b8edce58fafe098763e4fabdeb318d347f9238845f22c507e813186ea7d44adecd3028f9288048f9ad3bc7c7c735fba,18,636
✨ Quasar (quasar.win) ✨,0x8db2a99d06eb076ab83049c2dfed5725ed5cf35772071f43365399ad32e505f0e3ff1e14b9686cd74562dc50c282be26,6821,177092
✨ Quasar (quasar.win) ✨,0x8e7f955e0db90068d2910d673eee7f2a5473018bfe008583f9d55ce3ffbf726cfe9d749985aa6585abc4f1415c2c8602,703,4534
Bob the builder,0x8ef8714b124cdc6b4737862cb1c6da16d2835b5a3398858157154e0912b25e69c360514e5c999ef1e883517f725e6104,14,663
beaverbuild.org,0x9129eeb4d9fbbe7cd9118032cfd390fa95d1ded790610b97ba8968f256aee7571ea9ee91b71ad8ef613b4d5cec99ca75,216,14990
✨ Quasar (quasar.win) ✨,0x91b123d8d788268e82a6b9bcc168061bf6f2b25e669feadb8c55b30c718473273e4e6f428c8b9e84074ea587a95ebce6,23,42141
Bob the builder,0x926b79056c9d24eff9ebf7811c03587e036c24aa1e98c180813be5686c744e7cb68e3665a8c9930aa37281962037dad5,4,1991
builder.ultrasound.money,0x94771940ba7a5f20d357d2cd41dbb9f88fdf5cffa0b8fbf24130a383c743b21ab3d599b05cf5faf6e1076699a96cf604,398,1069
MEV SearcherNet,0x962f14897acf8b52460aa40339f5df23e506e85d931278ee828d67a0cd99c15a110e256ef4372b3c3ce2fb4c2660a377,1,272
